DEBUG    - 2024-03-04 22:25:41,240. В функции wrapper (2, 5) {} 0.4
DEBUG    - 2024-03-04 23:08:34,116. В функции wrapper division (2, 5) {} 0.4
DEBUG    - 2024-03-04 23:08:34,117. В функции wrapper (2, 5) {} 0.4
DEBUG    - 2024-03-04 23:23:46,737. В функции wrapper string_to_date ('1 понедельник января',) {} 2024-01-01 00:00:00
DEBUG    - 2024-03-04 23:23:46,738. В функции wrapper ('1 понедельник января',) {} 2024-01-01 00:00:00
DEBUG    - 2024-03-04 23:23:54,863. В функции wrapper string_to_date ('1-й четверг ноября',) {} 2024-11-07 00:00:00
DEBUG    - 2024-03-04 23:23:54,863. В функции wrapper ('1-й четверг ноября',) {} 2024-11-07 00:00:00
DEBUG    - 2024-03-04 23:23:54,864. В функции wrapper string_to_date ('1-е воскресенье февраля',) {} 2024-02-04 00:00:00
DEBUG    - 2024-03-04 23:23:54,864. В функции wrapper ('1-е воскресенье февраля',) {} 2024-02-04 00:00:00
DEBUG    - 2024-03-04 23:23:54,864. В функции wrapper string_to_date ('5-й четверг февраля',) {} 2024-02-29 00:00:00
DEBUG    - 2024-03-04 23:23:54,864. В функции wrapper ('5-й четверг февраля',) {} 2024-02-29 00:00:00
DEBUG    - 2024-03-04 23:23:54,864. В функции wrapper string_to_date ('5-е воскресенье марта',) {} 2024-03-31 00:00:00
DEBUG    - 2024-03-04 23:23:54,864. В функции wrapper ('5-е воскресенье марта',) {} 2024-03-31 00:00:00
DEBUG    - 2024-03-04 23:23:54,864. В функции wrapper string_to_date ('5-е воскресенье марта',) {} 2024-03-31 00:00:00
DEBUG    - 2024-03-04 23:23:54,864. В функции wrapper ('5-е воскресенье марта',) {} 2024-03-31 00:00:00
DEBUG    - 2024-03-04 23:23:54,864. В функции wrapper string_to_date ('5-е пятница мая',) {} 2024-05-31 00:00:00
DEBUG    - 2024-03-04 23:23:54,864. В функции wrapper ('5-е пятница мая',) {} 2024-05-31 00:00:00
DEBUG    - 2024-03-04 23:24:57,939. В функции wrapper string_to_date ('1 понедельник января',) {} 2024-01-01 00:00:00
DEBUG    - 2024-03-04 23:24:57,939. В функции wrapper ('1 понедельник января',) {} 2024-01-01 00:00:00
DEBUG    - 2024-03-06 23:34:22,443. В функции wrapper string_to_date ('1 понедельник января',) {} 2024-01-01 00:00:00
DEBUG    - 2024-03-06 23:34:22,444. В функции wrapper ('1 понедельник января',) {} 2024-01-01 00:00:00
